公投案,縣市,鄉鎮市區,同意票數,不同意票數,有效票數,無效票數,投票數,投票權人數,投票率(%),有效同意票數對投票權人數百分比(%)
第7案,新北市,貢寮區,"3,309","1,075","4,384",423,"4,807","11,279",42.62%,29.34%
第7案,新北市,金山區,"6,853","1,860","8,713",843,"9,556","18,978",50.35%,36.11%
第7案,新北市,萬里區,"6,883","1,811","8,694",854,"9,548","19,297",49.48%,35.67%
第7案,新北市,烏來區,"2,072",470,"2,542",161,"2,703","5,264",51.35%,39.36%
第7案,桃園市,桃園區,"135,663","36,174","171,837","9,359","181,196","359,790",50.36%,37.71%
第7案,桃園市,中壢區,"134,509","31,525","166,034","8,758","174,792","334,402",52.27%,40.22%
第7案,桃園市,大溪區,"30,058","7,843","37,901","2,974","40,875","78,285",52.21%,38.4%
第7案,桃園市,楊梅區,"54,109","12,102","66,211","3,373","69,584","137,917",50.45%,39.23%
第7案,桃園市,蘆竹區,"48,141","12,964","61,105","3,805","64,910","129,252",50.22%,37.25%
第7案,桃園市,大園區,"26,894","7,155","34,049","2,005","36,054","73,900",48.79%,36.39%
第7案,桃園市,龜山區,"47,936","12,769","60,705","3,366","64,071","131,702",48.65%,36.4%
第7案,桃園市,八德區,"62,058","15,724","77,782","4,842","82,624","165,065",50.06%,37.6%
第7案,桃園市,龍潭區,"42,077","9,102","51,179","2,699","53,878","101,574",53.04%,41.42%
第7案,桃園市,平鎮區,"74,739","17,335","92,074","4,474","96,548","183,560",52.6%,40.72%
第7案,桃園市,新屋區,"17,090","4,471","21,561","1,267","22,828","41,461",55.06%,41.22%
第7案,桃園市,觀音區,"20,514","5,326","25,840","1,616","27,456","55,149",49.79%,37.2%
第7案,桃園市,復興區,"3,740",843,"4,583",355,"4,938","9,766",50.56%,38.3%
第7案,臺中市,中區,"6,132","1,541","7,673",468,"8,141","14,696",55.4%,41.73%
第7案,臺中市,東區,"28,395","6,994","35,389","2,147","37,536","64,291",58.38%,44.17%
第7案,臺中市,南區,"48,518","11,525","60,043","3,309","63,352","103,643",61.13%,46.81%
第7案,臺中市,西區,"41,855","10,696","52,551","2,576","55,127","95,040",58%,44.04%
第7案,臺中市,北區,"53,751","12,471","66,222","3,239","69,461","124,621",55.74%,43.13%
第7案,臺中市,西屯區,"82,825","18,412","101,237","4,948","106,185","183,814",57.77%,45.06%
第7案,臺中市,南屯區,"63,052","14,504","77,556","3,946","81,502","135,448",60.17%,46.55%
第7案,臺中市,北屯區,"100,833","22,423","123,256","6,126","129,382","227,720",56.82%,44.28%
第7案,臺中市,豐原區,"61,483","15,505","76,988","4,660","81,648","136,658",59.75%,44.99%
第7案,臺中市,東勢區,"18,958","4,311","23,269","1,783","25,052","43,181",58.02%,43.9%
第7案,臺中市,大甲區,"27,122","6,558","33,680","2,271","35,951","63,069",57%,43%
第7案,臺中市,清水區,"32,206","7,100","39,306","2,489","41,795","71,528",58.43%,45.03%
第7案,臺中市,沙鹿區,"32,234","7,425","39,659","2,329","41,988","74,207",56.58%,43.44%
第7案,臺中市,梧棲區,"20,303","4,831","25,134","1,659","26,793","47,040",56.96%,43.16%
第7案,臺中市,后里區,"20,022","4,396","24,418","1,587","26,005","44,962",57.84%,44.53%
第7案,臺中市,神岡區,"24,223","5,774","29,997","1,950","31,947","54,565",58.55%,44.39%
第7案,臺中市,潭子區,"39,569","8,853","48,422","2,553","50,975","89,487",56.96%,44.22%
第7案,臺中市,大雅區,"33,608","7,469","41,077","2,236","43,313","77,189",56.11%,43.54%
第7案,臺中市,新社區,"8,246","1,889","10,135",651,"10,786","20,860",51.71%,39.53%
第7案,臺中市,石岡區,"5,735","1,379","7,114",477,"7,591","12,880",58.94%,44.53%
第7案,臺中市,外埔區,"12,116","2,667","14,783",912,"15,695","27,059",58%,44.78%
第7案,臺中市,大安區,"7,288","1,691","8,979",734,"9,713","16,520",58.8%,44.12%
第7案,臺中市,烏日區,"27,379","6,443","33,822","2,087","35,909","61,705",58.19%,44.37%
第7案,臺中市,大肚區,"21,090","4,776","25,866","1,563","27,429","47,457",57.8%,44.44%
第7案,臺中市,龍井區,"26,747","6,871","33,618","1,884","35,502","63,584",55.83%,42.07%
第7案,臺中市,霧峰區,"25,277","5,735","31,012","2,276","33,288","55,225",60.28%,45.77%
第7案,臺中市,太平區,"66,181","14,725","80,906","4,802","85,708","157,926",54.27%,41.91%
第7案,臺中市,大里區,"73,521","16,988","90,509","5,141","95,650","171,769",55.69%,42.8%
第7案,臺中市,和平區,"4,505",864,"5,369",309,"5,678","9,498",59.78%,47.43%
第7案,臺南市,新營區,"23,334","6,243","29,577","1,931","31,508","64,949",48.51%,35.93%
第7案,臺南市,鹽水區,"7,197","2,115","9,312",884,"10,196","22,121",46.09%,32.53%
第7案,臺南市,白河區,"7,115","2,194","9,309",945,"10,254","24,894",41.19%,28.58%
第7案,臺南市,柳營區,"6,416","1,700","8,116",880,"8,996","18,804",47.84%,34.12%
第7案,臺南市,後壁區,"6,384","1,789","8,173","1,083","9,256","20,841",44.41%,30.63%
第7案,臺南市,東山區,"4,639","1,339","5,978",743,"6,721","18,471",36.39%,25.12%
第7案,臺南市,麻豆區,"12,768","3,962","16,730","1,110","17,840","37,963",46.99%,33.63%
第7案,臺南市,下營區,"6,734","1,827","8,561",882,"9,443","20,947",45.08%,32.15%
第7案,臺南市,六甲區,"6,274","1,934","8,208",904,"9,112","19,144",47.6%,32.77%
第7案,臺南市,官田區,"6,127","1,935","8,062",681,"8,743","18,675",46.82%,32.81%
第7案,臺南市,大內區,"2,868",708,"3,576",450,"4,026","8,654",46.52%,33.14%
第7案,臺南市,佳里區,"19,007","4,960","23,967","1,833","25,800","50,407",51.18%,37.71%
第7案,臺南市,學甲區,"7,444","2,145","9,589",862,"10,451","22,567",46.31%,32.99%
第7案,臺南市,西港區,"7,029","1,898","8,927",665,"9,592","21,564",44.48%,32.6%
第7案,臺南市,七股區,"6,088","1,601","7,689",715,"8,404","19,950",42.13%,30.52%
第7案,臺南市,將軍區,"5,144","1,406","6,550",631,"7,181","17,754",40.45%,28.97%
第7案,臺南市,北門區,"2,791",714,"3,505",286,"3,791","9,925",38.2%,28.12%
第7案,臺南市,新化區,"13,968","3,880","17,848","1,819","19,667","37,296",52.73%,37.45%
第7案,臺南市,善化區,"14,134","4,332","18,466","1,553","20,019","39,950",50.11%,35.38%
第7案,臺南市,新市區,"11,296","3,511","14,807","1,203","16,010","30,386",52.69%,37.18%
第7案,臺南市,安定區,"9,675","2,801","12,476","1,199","13,675","26,104",52.39%,37.06%
第7案,臺南市,山上區,"1,960",542,"2,502",264,"2,766","6,511",42.48%,30.1%
第7案,臺南市,玉井區,"4,278","1,046","5,324",470,"5,794","12,357",46.89%,34.62%
第7案,臺南市,楠西區,"2,647",696,"3,343",312,"3,655","8,528",42.86%,31.04%
第7案,臺南市,南化區,"2,581",694,"3,275",343,"3,618","7,786",46.47%,33.15%
第7案,臺南市,左鎮區,"1,315",348,"1,663",246,"1,909","4,418",43.21%,29.76%
第7案,臺南市,仁德區,"24,241","6,852","31,093","2,493","33,586","64,632",51.96%,37.51%
第7案,臺南市,歸仁區,"21,131","6,313","27,444","2,191","29,635","57,387",51.64%,36.82%
第7案,臺南市,關廟區,"11,016","3,138","14,154","1,190","15,344","29,913",51.3%,36.83%
第7案,臺南市,龍崎區,"1,201",330,"1,531",164,"1,695","3,713",45.65%,32.35%
第7案,臺南市,永康區,"73,031","20,165","93,196","6,228","99,424","195,001",50.99%,37.45%
第7案,臺南市,東區,"59,256","18,165","77,421","5,127","82,548","153,359",53.83%,38.64%
第7案,臺南市,南區,"37,899","11,973","49,872","4,423","54,295","108,650",49.97%,34.88%
第7案,臺南市,北區,"41,806","12,882","54,688","3,681","58,369","110,906",52.63%,37.69%
第7案,臺南市,安南區,"58,644","17,005","75,649","6,515","82,164","159,654",51.46%,36.73%
第7案,臺南市,安平區,"19,987","5,922","25,909","1,649","27,558","55,379",49.76%,36.09%
第7案,臺南市,中西區,"24,805","8,210","33,015","2,651","35,666","65,261",54.65%,38.01%
第7案,高雄市,鹽埕區,"8,437","2,797","11,234",652,"11,886","21,617",54.98%,39.03%
第7案,高雄市,鼓山區,"49,511","13,531","63,042","3,914","66,956","114,979",58.23%,43.06%
第7案,高雄市,左營區,"73,230","18,003","91,233","5,165","96,398","161,367",59.74%,45.38%
第7案,高雄市,楠梓區,"66,374","17,502","83,876","7,019","90,895","153,132",59.36%,43.34%
第7案,高雄市,三民區,"121,925","35,486","157,411","10,419","167,830","289,519",57.97%,42.11%
第7案,高雄市,新興區,"18,956","5,836","24,792","1,698","26,490","44,355",59.72%,42.74%
第7案,高雄市,前金區,"10,022","3,181","13,203",900,"14,103","23,928",58.94%,41.88%
第7案,高雄市,苓雅區,"62,964","18,917","81,881","5,252","87,133","146,786",59.36%,42.9%
第7案,高雄市,前鎮區,"66,683","18,986","85,669","7,156","92,825","161,797",57.37%,41.21%
第7案,高雄市,旗津區,"8,332","2,706","11,038","1,261","12,299","24,860",49.47%,33.52%
第7案,高雄市,小港區,"55,974","15,327","71,301","4,956","76,257","132,733",57.45%,42.17%
第7案,高雄市,鳳山區,"130,829","33,944","164,773","11,240","176,013","300,510",58.57%,43.54%
第7案,高雄市,林園區,"23,394","6,249","29,643","2,480","32,123","59,129",54.33%,39.56%
第7案,高雄市,大寮區,"40,259","10,438","50,697","3,833","54,530","97,309",56.04%,41.37%
第7案,高雄市,大樹區,"14,634","3,834","18,468","1,480","19,948","36,772",54.25%,39.8%
第7案,高雄市,大社區,"11,644","3,867","15,511","1,271","16,782","30,046",55.85%,38.75%
第7案,高雄市,仁武區,"31,665","8,127","39,792","2,375","42,167","73,611",57.28%,43.02%
第7案,高雄市,鳥松區,"16,980","4,996","21,976","1,467","23,443","39,191",59.82%,43.33%
第7案,高雄市,岡山區,"37,008","9,109","46,117","3,112","49,229","81,244",60.59%,45.55%
第7案,高雄市,橋頭區,"14,112","4,123","18,235","1,669","19,904","32,565",61.12%,43.33%
第7案,高雄市,燕巢區,"10,583","2,759","13,342","1,259","14,601","26,012",56.13%,40.69%
第7案,高雄市,田寮區,"2,119",621,"2,740",340,"3,080","6,671",46.17%,31.76%
第7案,高雄市,阿蓮區,"9,426","2,614","12,040",871,"12,911","24,534",52.62%,38.42%
第7案,高雄市,路竹區,"18,361","5,165","23,526","1,997","25,523","43,850",58.21%,41.87%
第7案,高雄市,湖內區,"10,110","2,791","12,901",967,"13,868","25,729",53.9%,39.29%
第7案,高雄市,茄萣區,"9,361","3,019","12,380","1,344","13,724","26,212",52.36%,35.71%
第7案,高雄市,永安區,"5,315","1,565","6,880",606,"7,486","12,001",62.38%,44.29%
第7案,高雄市,彌陀區,"7,027","1,965","8,992","1,060","10,052","16,487",60.97%,42.62%
第7案,高雄市,梓官區,"12,760","3,460","16,220","1,448","17,668","31,025",56.95%,41.13%
第7案,高雄市,旗山區,"12,737","3,373","16,110","1,400","17,510","31,996",54.73%,39.81%
第7案,高雄市,美濃區,"13,876","3,588","17,464","1,617","19,081","35,311",54.04%,39.3%
第7案,高雄市,六龜區,"3,692","1,075","4,767",621,"5,388","11,501",46.85%,32.1%
第7案,高雄市,甲仙區,"1,893",444,"2,337",260,"2,597","5,417",47.94%,34.95%
第7案,高雄市,杉林區,"3,301",981,"4,282",451,"4,733","10,607",44.62%,31.12%
第7案,高雄市,內門區,"4,181","1,233","5,414",697,"6,111","13,002",47%,32.16%
第7案,高雄市,茂林區,809,166,975,79,"1,054","1,615",65.26%,50.09%
第7案,高雄市,桃源區,"1,339",305,"1,644",99,"1,743","3,498",49.83%,38.28%
第7案,高雄市,那瑪夏區,979,254,"1,233",144,"1,377","2,424",56.81%,40.39%
第7案,新竹縣,竹北市,"61,066","15,029","76,095","3,506","79,601","137,129",58.05%,44.53%
第7案,新竹縣,竹東鎮,"32,641","7,500","40,141","2,098","42,239","78,794",53.61%,41.43%
第7案,新竹縣,新埔鎮,"12,327","2,899","15,226",971,"16,197","28,894",56.06%,42.66%
第7案,新竹縣,關西鎮,"10,714","2,451","13,165",803,"13,968","24,712",56.52%,43.36%
第7案,新竹縣,湖口鄉,"27,505","6,227","33,732","1,748","35,480","63,511",55.86%,43.31%
第7案,新竹縣,新豐鄉,"19,499","4,612","24,111","1,385","25,496","45,790",55.68%,42.58%
第7案,新竹縣,芎林鄉,"7,631","1,895","9,526",592,"10,118","17,293",58.51%,44.13%
第7案,新竹縣,橫山鄉,"5,073","1,166","6,239",430,"6,669","11,346",58.78%,44.71%
第7案,新竹縣,北埔鄉,"3,535",782,"4,317",227,"4,544","8,180",55.55%,43.22%
第7案,新竹縣,寶山鄉,"5,773","1,417","7,190",398,"7,588","12,973",58.49%,44.5%
第7案,新竹縣,峨眉鄉,"2,238",570,"2,808",242,"3,050","5,068",60.18%,44.16%
第7案,新竹縣,尖石鄉,"2,358",565,"2,923",210,"3,133","7,364",42.54%,32.02%
第7案,新竹縣,五峰鄉,"1,242",331,"1,573",75,"1,648","3,997",41.23%,31.07%
第7案,苗栗縣,苗栗市,"33,815","7,069","40,884","1,931","42,815","74,249",57.66%,45.54%
第7案,苗栗縣,苑裡鎮,"15,998","4,451","20,449","1,621","22,070","38,890",56.75%,41.14%
第7案,苗栗縣,通霄鎮,"11,314","3,282","14,596","1,351","15,947","29,709",53.68%,38.08%
第7案,苗栗縣,竹南鎮,"29,221","6,996","36,217","2,120","38,337","68,528",55.94%,42.64%
第7案,苗栗縣,頭份市,"36,143","8,496","44,639","2,330","46,969","83,617",56.17%,43.22%
第7案,苗栗縣,後龍鎮,"12,288","3,270","15,558","1,426","16,984","30,948",54.88%,39.71%
第7案,苗栗縣,卓蘭鎮,"6,482","1,521","8,003",538,"8,541","14,772",57.82%,43.88%
第7案,苗栗縣,大湖鄉,"5,128","1,137","6,265",458,"6,723","12,653",53.13%,40.53%
第7案,苗栗縣,公館鄉,"12,634","3,027","15,661","1,054","16,715","28,318",59.03%,44.61%
第7案,苗栗縣,銅鑼鄉,"6,726","1,472","8,198",444,"8,642","15,424",56.03%,43.61%
第7案,苗栗縣,南庄鄉,"3,104",893,"3,997",311,"4,308","8,784",49.04%,35.34%
第7案,苗栗縣,頭屋鄉,"4,766","1,012","5,778",308,"6,086","9,390",64.81%,50.76%
第7案,苗栗縣,三義鄉,"6,388","1,334","7,722",413,"8,135","13,889",58.57%,45.99%
第7案,苗栗縣,西湖鄉,"2,724",617,"3,341",184,"3,525","6,382",55.23%,42.68%
第7案,苗栗縣,造橋鄉,"4,744","1,156","5,900",515,"6,415","11,027",58.18%,43.02%
第7案,苗栗縣,三灣鄉,"2,464",651,"3,115",260,"3,375","5,852",57.67%,42.11%
第7案,苗栗縣,獅潭鄉,"1,552",324,"1,876",143,"2,019","3,968",50.88%,39.11%
第7案,苗栗縣,泰安鄉,"2,518",616,"3,134",240,"3,374","5,180",65.14%,48.61%
第7案,彰化縣,彰化市,"85,910","21,752","107,662","7,322","114,984","190,995",60.2%,44.98%
第7案,彰化縣,鹿港鎮,"30,219","7,228","37,447","3,228","40,675","70,505",57.69%,42.86%
第7案,彰化縣,和美鎮,"32,445","7,579","40,024","2,554","42,578","75,286",56.56%,43.1%
第7案,彰化縣,線西鄉,"6,361","1,367","7,728",637,"8,365","14,065",59.47%,45.23%
第7案,彰化縣,伸港鄉,"13,300","2,650","15,950","1,254","17,204","30,407",56.58%,43.74%
第7案,彰化縣,福興鄉,"15,627","3,996","19,623","1,927","21,550","39,745",54.22%,39.32%
第7案,彰化縣,秀水鄉,"14,290","3,569","17,859","1,289","19,148","32,394",59.11%,44.11%
第7案,彰化縣,花壇鄉,"16,953","4,059","21,012","1,692","22,704","38,924",58.33%,43.55%
第7案,彰化縣,芬園鄉,"8,346","1,976","10,322",960,"11,282","20,408",55.28%,40.9%
第7案,彰化縣,員林市,"43,129","10,985","54,114","3,431","57,545","102,028",56.4%,42.27%
第7案,彰化縣,溪湖鎮,"19,566","4,696","24,262","1,832","26,094","45,147",57.8%,43.34%
第7案,彰化縣,田中鎮,"14,996","3,604","18,600","1,687","20,287","35,391",57.32%,42.37%
第7案,彰化縣,大村鄉,"13,893","3,300","17,193","1,265","18,458","31,492",58.61%,44.12%
第7案,彰化縣,埔鹽鄉,"12,676","2,865","15,541","1,323","16,864","28,026",60.17%,45.23%
第7案,彰化縣,埔心鄉,"13,153","3,544","16,697","1,503","18,200","29,642",61.4%,44.37%
第7案,彰化縣,永靖鄉,"13,632","3,376","17,008","1,436","18,444","31,239",59.04%,43.64%
第7案,彰化縣,社頭鄉,"15,452","3,889","19,341","1,416","20,757","36,306",57.17%,42.56%
第7案,彰化縣,二水鄉,"5,683","1,607","7,290",694,"7,984","13,339",59.85%,42.6%
第7案,彰化縣,北斗鎮,"11,915","2,859","14,774","1,294","16,068","27,593",58.23%,43.18%
第7案,彰化縣,二林鎮,"16,535","3,868","20,403","1,952","22,355","42,976",52.02%,38.47%
第7案,彰化縣,田尾鄉,"10,126","2,487","12,613","1,014","13,627","23,179",58.79%,43.69%
第7案,彰化縣,埤頭鄉,"9,819","2,728","12,547","1,343","13,890","25,677",54.1%,38.24%
第7案,彰化縣,芳苑鄉,"10,149","2,400","12,549","1,685","14,234","29,291",48.6%,34.65%
第7案,彰化縣,大城鄉,"4,053",953,"5,006",598,"5,604","14,713",38.09%,27.55%
第7案,彰化縣,竹塘鄉,"4,837","1,264","6,101",710,"6,811","12,821",53.12%,37.73%
第7案,彰化縣,溪州鄉,"9,269","2,429","11,698","1,177","12,875","25,405",50.68%,36.48%
第7案,南投縣,南投市,"39,753","8,588","48,341","2,677","51,018","84,328",60.5%,47.14%
第7案,南投縣,埔里鎮,"30,711","6,093","36,804","2,423","39,227","68,763",57.05%,44.66%
第7案,南投縣,草屯鎮,"37,026","8,133","45,159","2,518","47,677","82,922",57.5%,44.65%
第7案,南投縣,竹山鎮,"18,659","5,202","23,861","1,821","25,682","47,034",54.6%,39.67%
第7案,南投縣,集集鎮,"4,068","1,045","5,113",418,"5,531","9,611",57.55%,42.33%
第7案,南投縣,名間鄉,"14,946","3,387","18,333","1,622","19,955","33,408",59.73%,44.74%
第7案,南投縣,鹿谷鄉,"6,543","1,383","7,926",587,"8,513","15,941",53.4%,41.05%
第7案,南投縣,中寮鄉,"5,701","1,272","6,973",633,"7,606","13,181",57.7%,43.25%
第7案,南投縣,魚池鄉,"5,746","1,277","7,023",536,"7,559","13,958",54.16%,41.17%
第7案,南投縣,國姓鄉,"7,165","1,490","8,655",629,"9,284","16,597",55.94%,43.17%
第7案,南投縣,水里鄉,"6,511","1,422","7,933",589,"8,522","15,458",55.13%,42.12%
第7案,南投縣,信義鄉,"5,246","1,259","6,505",961,"7,466","13,299",56.14%,39.45%
第7案,南投縣,仁愛鄉,"5,087","1,090","6,177",467,"6,644","12,589",52.78%,40.41%
第7案,雲林縣,斗六市,"38,874","9,361","48,235","2,719","50,954","89,761",56.77%,43.31%
第7案,雲林縣,斗南鎮,"15,804","4,072","19,876","1,529","21,405","38,138",56.13%,41.44%
第7案,雲林縣,虎尾鎮,"22,521","5,890","28,411","2,061","30,472","58,167",52.39%,38.72%
第7案,雲林縣,西螺鎮,"14,318","3,797","18,115","1,780","19,895","38,142",52.16%,37.54%
第7案,雲林縣,土庫鎮,"8,902","2,454","11,356","1,302","12,658","24,412",51.85%,36.47%
第7案,雲林縣,北港鎮,"12,837","3,548","16,385","1,884","18,269","33,958",53.8%,37.8%
第7案,雲林縣,古坑鄉,"10,321","2,757","13,078","1,145","14,223","27,477",51.76%,37.56%
第7案,雲林縣,大埤鄉,"5,988","1,651","7,639",738,"8,377","16,509",50.74%,36.27%
第7案,雲林縣,莿桐鄉,"9,304","2,727","12,031","1,428","13,459","24,570",54.78%,37.87%
第7案,雲林縣,林內鄉,"6,202","1,601","7,803",942,"8,745","15,551",56.23%,39.88%
第7案,雲林縣,二崙鄉,"7,403","2,281","9,684","1,247","10,931","23,367",46.78%,31.68%
第7案,雲林縣,崙背鄉,"6,925","2,106","9,031",970,"10,001","21,050",47.51%,32.9%
第7案,雲林縣,麥寮鄉,"12,437","3,759","16,196","1,781","17,977","37,119",48.43%,33.51%
第7案,雲林縣,東勢鄉,"4,542","1,181","5,723",742,"6,465","13,239",48.83%,34.31%
第7案,雲林縣,褒忠鄉,"4,069","1,127","5,196",511,"5,707","11,381",50.14%,35.75%
第7案,雲林縣,臺西鄉,"6,679","1,728","8,407","1,093","9,500","21,125",44.97%,31.62%
第7案,雲林縣,元長鄉,"6,583","1,928","8,511","1,043","9,554","22,830",41.85%,28.83%
第7案,雲林縣,四湖鄉,"5,552","1,552","7,104",889,"7,993","20,983",38.09%,26.46%
第7案,雲林縣,口湖鄉,"7,648","2,080","9,728","1,405","11,133","24,193",46.02%,31.61%
第7案,雲林縣,水林鄉,"6,599","1,794","8,393","1,086","9,479","22,508",42.11%,29.32%
第7案,嘉義縣,太保市,"11,773","3,217","14,990","1,411","16,401","31,568",51.95%,37.29%
第7案,嘉義縣,朴子市,"12,753","3,455","16,208","1,714","17,922","35,191",50.93%,36.24%
第7案,嘉義縣,布袋鎮,"7,992","2,087","10,079","1,337","11,416","23,965",47.64%,33.35%
第7案,嘉義縣,大林鎮,"9,837","2,605","12,442","1,126","13,568","26,922",50.4%,36.54%
第7案,嘉義縣,民雄鄉,"22,895","6,700","29,595","2,904","32,499","61,209",53.1%,37.4%
第7案,嘉義縣,溪口鄉,"4,446","1,304","5,750",716,"6,466","13,105",49.34%,33.93%
第7案,嘉義縣,新港鄉,"9,871","2,914","12,785","1,636","14,421","27,342",52.74%,36.1%
第7案,嘉義縣,六腳鄉,"5,958","1,540","7,498",959,"8,457","20,821",40.62%,28.62%
第7案,嘉義縣,東石鄉,"5,735","1,576","7,311","1,164","8,475","21,915",38.67%,26.17%
第7案,嘉義縣,義竹鄉,"5,818","1,526","7,344",901,"8,245","16,647",49.53%,34.95%
第7案,嘉義縣,鹿草鄉,"4,397","1,220","5,617",904,"6,521","13,937",46.79%,31.55%
第7案,嘉義縣,水上鄉,"16,150","4,702","20,852","2,000","22,852","43,857",52.11%,36.82%
第7案,嘉義縣,中埔鄉,"12,785","3,594","16,379","1,538","17,917","39,139",45.78%,32.67%
第7案,嘉義縣,竹崎鄉,"11,147","3,039","14,186","1,393","15,579","31,228",49.89%,35.7%
第7案,嘉義縣,梅山鄉,"6,588","1,785","8,373",882,"9,255","17,083",54.18%,38.56%
第7案,嘉義縣,番路鄉,"4,089",968,"5,057",508,"5,565","10,156",54.8%,40.26%
第7案,嘉義縣,大埔鄉,"1,555",392,"1,947",167,"2,114","3,999",52.86%,38.88%
第7案,嘉義縣,阿里山鄉,"1,295",297,"1,592",447,"2,039","4,691",43.47%,27.61%
第7案,屏東縣,屏東市,"66,120","17,114","83,234","5,603","88,837","170,148",52.21%,38.86%
第7案,屏東縣,潮州鎮,"17,240","4,550","21,790","1,878","23,668","46,444",50.96%,37.12%
第7案,屏東縣,東港鎮,"14,549","3,955","18,504","2,301","20,805","39,495",52.68%,36.84%
第7案,屏東縣,恆春鎮,"8,909","2,055","10,964",842,"11,806","25,661",46.01%,34.72%
第7案,屏東縣,萬丹鄉,"15,892","4,655","20,547","2,197","22,744","43,478",52.31%,36.55%
第7案,屏東縣,長治鄉,"9,969","2,844","12,813","1,489","14,302","26,256",54.47%,37.97%
第7案,屏東縣,麟洛鄉,"4,077","1,077","5,154",408,"5,562","9,970",55.79%,40.89%
第7案,屏東縣,九如鄉,"7,108","1,976","9,084","1,227","10,311","19,132",53.89%,37.15%
第7案,屏東縣,里港鄉,"8,226","2,453","10,679","1,363","12,042","22,128",54.42%,37.17%
第7案,屏東縣,鹽埔鄉,"8,036","2,168","10,204","1,173","11,377","22,402",50.79%,35.87%
第7案,屏東縣,高樹鄉,"6,898","2,226","9,124","1,225","10,349","21,697",47.7%,31.79%
第7案,屏東縣,萬巒鄉,"6,002","1,899","7,901",986,"8,887","17,945",49.52%,33.45%
第7案,屏東縣,內埔鄉,"15,808","4,258","20,066","1,854","21,920","47,558",46.09%,33.24%
